timestamp,open,high,low,close,volume
2017-08-01,2837.44,2929.17,2615.0,2775.38,13447.71098146
2017-08-02,2775.38,2779.07,2670.0,2707.87,9006.626256479998
2017-08-03,2705.64,2797.51,2650.0,2789.99,7991.44913318
2017-08-04,2789.99,2877.52,2765.91,2826.57,8196.223845740002
2017-08-05,2826.36,3339.66,2825.0,3256.0,16141.05194098
2017-08-06,3256.0,3296.51,3146.1,3261.49,7374.7229566900005
2017-08-07,3261.49,3430.0,3186.0,3356.0,11244.862399630001
2017-08-08,3356.0,3490.0,3300.0,3431.98,15924.370750650001
2017-08-09,3432.0,3463.31,3178.72,3331.01,13065.652025259998
2017-08-10,3331.0,3448.0,3293.01,3410.0,10377.502773420001
2017-08-11,3410.0,3550.0,3385.0,3539.0,10834.46358432
2017-08-12,3538.93,3934.0,3528.73,3872.0,12487.871052259998
2017-08-13,3874.24,4190.0,3725.37,3961.43,17105.37040808
2017-08-14,3957.04,4328.0,3954.0,4212.99,12955.13842631
2017-08-15,4212.99,4400.0,3800.0,4044.57,25453.73466987
2017-08-16,4044.35,4364.0,3926.06,4299.0,13370.43074149
2017-08-17,4299.0,4480.0,4167.21,4306.4,14643.691532789999
2017-08-18,4306.4,4368.0,3990.32,4119.67,16025.109456389999
2017-08-19,4115.92,4188.0,3900.0,4054.4,17105.82335302
2017-08-20,4053.57,4130.0,4000.0,4088.4,6639.649862910001
2017-08-21,4090.94,4111.96,3949.78,4014.21,8749.413095970001
2017-08-22,4003.0,4139.31,3600.0,4089.61,23501.94921682
2017-08-23,4089.61,4248.97,4011.09,4100.0,14114.41875195
2017-08-24,4100.0,4246.41,4062.26,4227.62,10969.329007969998
2017-08-25,4225.0,4449.98,4199.53,4324.84,10716.446722839999
2017-08-26,4320.03,4372.2,4232.43,4323.69,7341.49826493
2017-08-27,4324.0,4393.3,4290.32,4354.9,4338.00151324
2017-08-28,4355.06,4365.96,4169.01,4341.84,7750.869690539999
2017-08-29,4342.53,4649.78,4328.66,4584.86,11627.942903520001
2017-08-30,4583.83,4642.22,4479.0,4550.0,9508.08298531
2017-08-31,4549.99,4765.21,4532.58,4719.85,8635.51019228
2017-09-01,4724.3,4872.96,4671.09,4870.0,14147.088336
2017-09-02,4870.0,4979.9,4488.5,4605.89,17362.21449344
2017-09-03,4606.0,4700.0,4385.0,4550.0,11419.85595478
2017-09-04,4550.0,4624.72,4058.5,4250.97,23636.04213539
2017-09-05,4260.49,4449.45,4001.93,4412.81,21534.61105426
2017-09-06,4413.93,4649.23,4356.42,4608.52,17655.09235493
2017-09-07,4605.89,4674.34,4475.0,4602.71,9476.338091090001
2017-09-08,4602.81,4679.97,4195.0,4197.2,20116.685082030002
2017-09-09,4196.1,4379.78,4125.99,4276.3,13761.090426310002
2017-09-10,4276.38,4334.38,4010.0,4293.55,14806.94078566
2017-09-11,4293.55,4353.49,4092.4,4197.67,11448.5045962
2017-09-12,4197.69,4377.65,4080.0,4164.85,12576.287097
2017-09-13,4164.88,4204.99,3720.01,3850.0,28377.30347607
2017-09-14,3847.99,3949.99,3251.29,3359.0,36144.70636895
2017-09-15,3358.93,3772.52,2972.01,3682.02,62813.47658772
2017-09-16,3682.02,3872.9,3500.0,3692.97,27103.031700419997
2017-09-17,3697.26,3772.52,3463.0,3704.76,11966.392298929999
2017-09-18,3711.95,4100.0,3646.39,4016.21,16486.163522540002
2017-09-19,4020.88,4122.7,3848.35,3897.97,15269.79785869
2017-09-20,3889.45,4050.0,3820.56,3948.46,11873.31353467
2017-09-21,3948.0,3973.0,3612.0,3631.81,16171.167352870001
2017-09-22,3639.55,3761.84,3514.0,3595.93,16579.64541749
2017-09-23,3597.6,3810.25,3552.0,3770.0,10707.24647846
2017-09-24,3766.16,3783.25,3615.0,3694.97,7318.02939599
2017-09-25,3691.28,3968.59,3650.02,3926.0,13810.03879793
2017-09-26,3926.0,3970.0,3850.61,3908.26,10938.65118967
2017-09-27,3911.97,4190.0,3870.0,4183.39,13277.32840874
2017-09-28,4182.04,4270.01,4123.5,4152.0,11067.82296898
2017-09-29,4149.28,4227.62,4022.02,4162.95,12291.221001259999
2017-09-30,4162.93,4347.2,4132.01,4318.07,7616.679846149999
2017-10-01,4318.07,4349.0,4216.0,4289.17,6864.8580018
2017-10-02,4289.1,4453.0,4282.09,4407.0,8195.87111233
2017-10-03,4407.09,4425.0,4218.0,4272.02,12914.65139023
2017-10-04,4272.02,4343.0,4170.07,4206.26,8504.29010907
2017-10-05,4209.74,4356.05,4137.96,4355.35,8004.9159282400005
2017-10-06,4355.3,4425.0,4278.4,4338.01,9072.317816230001
2017-10-07,4338.0,4383.95,4312.82,4338.92,3278.0852362299997
2017-10-08,4338.92,4585.0,4327.41,4583.97,10221.64329231
2017-10-09,4584.0,4865.0,4541.0,4780.0,12293.55045043
2017-10-10,4777.0,4909.97,4739.9,4861.47,11510.00734765
2017-10-11,4869.09,4885.54,4700.0,4831.09,11292.51940678
2017-10-12,4836.68,5388.0,4789.04,5289.74,18903.88203999
2017-10-13,5289.7,5846.43,5265.08,5502.0,27588.85414102
2017-10-14,5501.77,5767.14,5497.4,5694.2,9332.17278643
2017-10-15,5694.2,5830.0,5415.0,5492.8,10965.03318137
2017-10-16,5496.04,5747.97,5455.65,5720.28,8961.63122217
2017-10-17,5720.81,5807.11,5506.78,5628.32,10159.91155134
2017-10-18,5625.63,5639.9,5101.36,5390.69,17460.15853204
2017-10-19,5390.59,5735.0,5387.88,5627.36,11124.68666196
2017-10-20,5627.36,6065.0,5589.8,6045.0,14098.748252209998
2017-10-21,6045.0,6180.0,5871.0,6027.05,16330.14737372
2017-10-22,6027.08,6120.0,5700.0,5872.0,12230.9516256
2017-10-23,5871.92,6045.34,5617.75,5930.87,13503.580552340001
2017-10-24,5930.97,6000.0,5534.32,5685.0,16764.077369749997
2017-10-25,5680.0,5685.0,5366.0,5655.0,14210.757199740001
2017-10-26,5644.04,5988.0,5630.0,5892.8,11884.02011573
2017-10-27,5892.86,5994.06,5674.06,5741.45,12447.11737652
2017-10-28,5741.34,5875.66,5646.18,5781.82,6835.927139470001
2017-10-29,5781.98,6145.42,5683.0,6145.39,11199.49305433
2017-10-30,6145.42,6316.85,6024.03,6079.9,14045.18131078
2017-10-31,6078.56,6420.0,6072.81,6343.37,12752.03506503
2017-11-01,6343.37,6622.81,6340.01,6595.94,11343.09594873
2017-11-02,6594.99,7354.1,6524.45,6974.49,27231.64121846
2017-11-03,6975.0,7500.0,6925.22,7294.0,15929.547909419998
2017-11-04,7295.12,7458.0,6994.0,7458.0,9614.277771199999
